Gender,Budget,FreeTime,TimeAtHome,Living,PreferQuietPet,Allergies,PetChoice
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Male,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Female,Greater than 3000,2,5,House,No,Yes,Dog
Male,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Female,Between 1000 and 3000,4,3,House,No,No,Fish
Male,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
Female,Between 1000 and 3000,1,2,Apartment,Yes,No,Cat
Male,Greater than 3000,2,5,House,No,Yes,Dog
Female,Between 1000 and 3000,3,6,Condo,Yes,No,Hamster
Male,Between 1000 and 3000,4,3,House,No,No,Fish
Female,Greater than 3000,5,4,Apartment,Yes,Yes,Snake
